School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Alta Vista Public,36675870120592,Adelanto Elementary,2,null,null,null,null,null%
Central High (Continuation),36676113630712,Barstow Unified,1,null,null,null,null,null%
Barstow High,36676113630803,Barstow Unified,85,451,474,445,24,28.24%
Big Bear High,36676373631066,Bear Valley Unified,71,502,519,491,37,52.11%
Chaffey District Online High,36676520126243,Chaffey Joint Union High,8,null,null,null,null,null%
Alta Loma High,36676523630225,Chaffey Joint Union High,348,482,488,466,130,37.36%
Etiwanda High,36676523630373,Chaffey Joint Union High,455,489,501,478,205,45.05%
Rancho Cucamonga High,36676523630571,Chaffey Joint Union High,519,493,501,489,236,45.47%
Los Osos High,36676523631058,Chaffey Joint Union High,522,523,544,511,307,58.81%
Colony High,36676523631157,Chaffey Joint Union High,240,457,466,450,77,32.08%
Chaffey High,36676523632205,Chaffey Joint Union High,277,453,450,445,71,25.63%
Montclair High,36676523633906,Chaffey Joint Union High,337,438,456,426,75,22.26%
Ontario High,36676523634482,Chaffey Joint Union High,282,428,458,428,61,21.63%
Valley View High (Continuation),36676523637659,Chaffey Joint Union High,1,null,null,null,null,null%
Don Antonio Lugo High,36676783630035,Chino Valley Unified,142,468,462,461,44,30.99%
Ruben S. Ayala High,36676783630522,Chino Valley Unified,464,513,542,510,273,58.84%
Chino Hills High,36676783631017,Chino Valley Unified,516,508,531,508,288,55.81%
Buena Vista Continuation High,36676783631769,Chino Valley Unified,1,null,null,null,null,null%
Chino High,36676783632502,Chino Valley Unified,235,456,460,452,70,29.79%
Grand Terrace High School at the Ray Abril Jr. Edu,36676860125500,Colton Joint Unified,184,451,451,441,44,23.91%
Washington High,36676863630399,Colton Joint Unified,0,null,null,null,null,null%
Bloomington High,36676863631322,Colton Joint Unified,177,432,442,430,40,22.6%
Colton High,36676863632742,Colton Joint Unified,131,427,452,428,24,18.32%
Summit High,36677100108191,Fontana Unified,326,439,439,425,62,19.02%
Jurupa Hills High,36677100120758,Fontana Unified,282,437,436,424,61,21.63%
Fontana A. B. Miller High,36677103630555,Fontana Unified,185,448,447,432,42,22.7%
Henry J. Kaiser High,36677103630902,Fontana Unified,236,425,427,417,28,11.86%
Fontana High,36677103633302,Fontana Unified,221,435,448,429,47,21.27%
Academy of Careers and Exploration,36677360116723,Helendale Elementary,17,454,495,462,7,41.18%
Empire Springs Charter,36677360128439,Helendale Elementary,0,null,null,null,null,null%
Independence Charter Academy,36677360130948,Helendale Elementary,0,null,null,null,null,null%
Alta Vista South Public Charter,36677360131151,Helendale Elementary,0,null,null,null,null,null%
Hope Academy Charter,36677770124214,Morongo Unified,1,null,null,null,null,null%
Twentynine Palms High,36677773636743,Morongo Unified,72,486,503,478,31,43.06%
Yucca Valley High,36677773638616,Morongo Unified,79,493,497,494,40,50.63%
Needles High,36678013634169,Needles Unified,16,446,453,409,5,31.25%
Mojave River Academy,36678270111807,Oro Grande Elementary,8,null,null,null,null,null%
Riverside Preparatory,36678270113928,Oro Grande Elementary,99,460,452,447,28,28.28%
Citrus Valley High,36678430118802,Redlands Unified,293,488,492,473,135,46.08%
Redlands eAcademy,36678430127837,Redlands Unified,5,null,null,null,null,null%
Redlands East Valley High,36678433630779,Redlands Unified,256,506,511,498,134,52.34%
Grove,36678433630928,Redlands Unified,28,552,506,535,17,60.71%
Redlands Senior High,36678433635042,Redlands Unified,262,523,538,515,150,57.25%
Wilmer Amina Carter High,36678500102830,Rialto Unified,265,429,436,436,48,18.11%
Zupanic High,36678503630530,Rialto Unified,1,null,null,null,null,null%
Rialto High,36678503630597,Rialto Unified,296,428,437,421,54,18.24%
Eisenhower Senior High,36678503633005,Rialto Unified,210,433,456,427,42,20%
Rim of the World Senior High,36678683635265,Rim of the World Unified,118,506,496,484,57,48.31%
ASA Charter,36678760107730,San Bernardino City Unified,1,null,null,null,null,null%
Public Safety Academy,36678760109850,San Bernardino City Unified,9,null,null,null,null,null%
Options for Youth-San Bernardino,36678760120568,San Bernardino City Unified,23,456,436,457,3,13.04%
Indian Springs High,36678760125450,San Bernardino City Unified,116,404,404,400,11,9.48%
San Andreas High,36678763630308,San Bernardino City Unified,1,null,null,null,null,null%
Alternative Learning Center,36678763630548,San Bernardino City Unified,0,null,null,null,null,null%
Provisional Accelerated Learning Academy,36678763630993,San Bernardino City Unified,0,null,null,null,null,null%
Arroyo Valley High,36678763631082,San Bernardino City Unified,243,415,423,406,39,16.05%
Middle College High,36678763631090,San Bernardino City Unified,60,466,477,469,17,28.33%
Cajon High,36678763632221,San Bernardino City Unified,330,465,467,456,107,32.42%
Pacific High,36678763634680,San Bernardino City Unified,156,415,426,403,20,12.82%
San Bernardino High,36678763635844,San Bernardino City Unified,159,424,426,415,25,15.72%
