School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
River Springs Charter,33103300110833,Riverside County Office of Education,53,489,458,478,20,37.74%
Riverside County Education Academy,33103300125237,Riverside County Office of Education,1,null,null,null,null,null%
Come Back Kids,33103300128397,Riverside County Office of Education,0,null,null,null,null,null%
Gateway College and Career Academy,33103300128777,Riverside County Office of Education,0,null,null,null,null,null%
California School for the Deaf-Riverside,33316253330834,California School for the Deaf-Riverside (State Sp,1,null,null,null,null,null%
Alvord Alternative Continuation High,33669770126896,Alvord Unified,0,null,null,null,null,null%
La Sierra High,33669773330008,Alvord Unified,298,473,478,458,103,34.56%
Norte Vista High,33669773334299,Alvord Unified,210,439,450,432,47,22.38%
Banning High,33669853330214,Banning Unified,97,419,407,414,14,14.43%
Banning Independent Study,33669853330974,Banning Unified,0,null,null,null,null,null%
21st Century Learning Institute,33669930129882,Beaumont Unified,0,null,null,null,null,null%
Beaumont Senior High,33669933330479,Beaumont Unified,242,474,465,474,90,37.19%
Eleanor Roosevelt High,33670330110627,Corona-Norco Unified,486,486,490,486,218,44.86%
John F. Kennedy High,33670330110759,Corona-Norco Unified,134,509,499,497,70,52.24%
Corona-Norco Alternative,33670333330131,Corona-Norco Unified,0,null,null,null,null,null%
Centennial High,33670333330446,Corona-Norco Unified,418,494,514,482,203,48.56%
Lee V. Pollard High,33670333330586,Corona-Norco Unified,2,null,null,null,null,null%
Santiago High,33670333330701,Corona-Norco Unified,523,498,512,499,259,49.52%
Corona High,33670333331600,Corona-Norco Unified,288,470,480,468,109,37.85%
Norco High,33670333334232,Corona-Norco Unified,258,482,496,476,111,43.02%
Shadow Hills High,33670580118885,Desert Sands Unified,179,436,428,434,36,20.11%
Palm Desert High,33670583330388,Desert Sands Unified,259,516,510,508,137,52.9%
La Quinta High,33670583330669,Desert Sands Unified,397,474,477,462,140,35.26%
Horizon,33670583330909,Desert Sands Unified,2,null,null,null,null,null%
Amistad High (Continuation),33670583331113,Desert Sands Unified,1,null,null,null,null,null%
Indio High,33670583333192,Desert Sands Unified,199,424,403,430,30,15.08%
Hamilton High,33670820106716,Hemet Unified,15,506,506,481,6,40%
