School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
Academia Avance Charter,19101990109926,Los Angeles County Office of Education,57,380,386,382,6,10.53%
Los Angeles International Charter High,19101990109942,Los Angeles County Office of Education,65,401,420,428,15,23.08%
Optimist Charter,19101990127522,Los Angeles County Office of Education,0,null,null,null,null,null%
L.A. County High School for the Arts,19101991933399,Los Angeles County Office of Education,129,565,509,570,90,69.77%
Alternative Opportunity Programs,19101991995257,Los Angeles County Office of Education,0,null,null,null,null,null%
International Polytechnic High,19101991995869,Los Angeles County Office of Education,110,508,519,495,57,51.82%
Soledad Enrichment Action Charter High,19101991996008,Los Angeles County Office of Education,11,338,305,335,0,0%
Cerritos High,19642121930056,ABC Unified,367,535,587,546,263,71.66%
Artesia High,19642121930361,ABC Unified,130,453,466,450,31,23.85%
Whitney (Gretchen) High,19642121931880,ABC Unified,154,639,687,661,151,98.05%
Gahr (Richard) High,19642121933159,ABC Unified,234,485,509,477,104,44.44%
ABC Secondary (Alternative),19642121995596,ABC Unified,0,null,null,null,null,null%
William J. (Pete) Knight High,19642460100081,Antelope Valley Union High,303,441,435,442,77,25.41%
Eastside High,19642460108407,Antelope Valley Union High,257,420,408,409,34,13.23%
SOAR High (Students On Academic Rise),19642460111872,Antelope Valley Union High,87,517,513,496,45,51.72%
Los Angeles County Online High,19642460115337,Antelope Valley Union High,6,null,null,null,null,null%
Academies of the Antelope Valley,19642460126003,Antelope Valley Union High,3,null,null,null,null,null%
Antelope Valley High,19642461930213,Antelope Valley Union High,138,412,400,405,10,7.25%
Desert Winds Continuation High,19642461931732,Antelope Valley Union High,1,null,null,null,null,null%
Palmdale High,19642461936624,Antelope Valley Union High,218,446,427,433,46,21.1%
Quartz Hill High,19642461937051,Antelope Valley Union High,344,499,494,486,152,44.19%
Highland High,19642461995398,Antelope Valley Union High,312,471,460,458,99,31.73%
Littlerock High,19642461995406,Antelope Valley Union High,133,423,426,422,24,18.05%
Lancaster High,19642461995844,Antelope Valley Union High,238,470,462,449,74,31.09%
Desert Sands Charter,19642461996537,Antelope Valley Union High,4,null,null,null,null,null%
Arcadia High,19642611930288,Arcadia Unified,597,578,635,592,509,85.26%
Rancho Learning Center (Alternative),19642611995299,Arcadia Unified,32,605,641,601,30,93.75%
Azusa High,19642791930528,Azusa Unified,159,440,445,431,35,22.01%
Gladstone High,19642791933449,Azusa Unified,117,445,432,434,19,16.24%
Opportunities For Learning - Baldwin Park II,19642870114397,Baldwin Park Unified,79,434,397,426,7,8.86%
Baldwin Park High,19642871930601,Baldwin Park Unified,179,459,473,446,58,32.4%
Sierra Vista High,19642871938166,Baldwin Park Unified,215,454,463,448,59,27.44%
Opportunities for Learning - Baldwin Park,19642871996479,Baldwin Park Unified,81,441,419,447,15,18.52%
Bassett Senior High,19642951930700,Bassett Unified,100,427,436,431,21,21%
Nueva Vista Continuation High,19642951936491,Bassett Unified,1,null,null,null,null,null%
Bellflower High,19643031930775,Bellflower Unified,147,465,482,445,41,27.89%
Mayfair High,19643031935618,Bellflower Unified,234,490,495,478,99,42.31%
Beverly Hills High,19643111930981,Beverly Hills Unified,219,574,589,588,173,79%
Bonita High,19643291931088,Bonita Unified,260,495,500,500,127,48.85%
San Dimas High,19643291937739,Bonita Unified,155,497,491,487,67,43.23%
Burbank High,19643371931187,Burbank Unified,320,516,532,513,193,60.31%
Burroughs High,19643371931237,Burbank Unified,338,519,521,509,183,54.14%
Options for Youth-Burbank Charter,19643371996099,Burbank Unified,22,467,439,464,9,40.91%
Centinela Valley Independent Study,19643520118521,Centinela Valley Union High,0,null,null,null,null,null%
Family First Charter,19643520128488,Centinela Valley Union High,0,null,null,null,null,null%
New Opportunities Charter,19643520128496,Centinela Valley Union High,0,null,null,null,null,null%
Hawthorne High,19643521933951,Centinela Valley Union High,179,412,405,420,26,14.53%
Lawndale High,19643521934926,Centinela Valley Union High,361,428,429,423,62,17.17%
Leuzinger High,19643521935048,Centinela Valley Union High,155,391,410,391,16,10.32%
Charter Oak High,19643781931666,Charter Oak Unified,262,470,485,466,97,37.02%
San Antonio High (Continuation),19643941931807,Claremont Unified,2,null,null,null,null,null%
Claremont High,19643941931823,Claremont Unified,403,517,525,519,228,56.58%
Covina High,19644361932086,Covina-Valley Unified,150,454,462,452,36,24%
Northview High,19644361936418,Covina-Valley Unified,158,433,431,426,28,17.72%
South Hills High,19644361938372,Covina-Valley Unified,271,488,499,476,105,38.75%
Culver City High,19644441932201,Culver City Unified,341,514,516,502,170,49.85%
Downey High,19644511932441,Downey Unified,455,464,456,454,126,27.69%
Warren High,19644511939164,Downey Unified,474,467,473,458,144,30.38%
Opportunities for Learning - Duarte,19644690128736,Duarte Unified,4,null,null,null,null,null%
Duarte High,19644691932482,Duarte Unified,143,448,465,446,33,23.08%
Arroyo High,19645191930320,El Monte Union High,291,455,483,457,91,31.27%
El Monte High,19645191932664,El Monte Union High,211,434,454,430,56,26.54%
Mountain View High,19645191932680,El Monte Union High,126,442,461,444,31,24.6%
Rosemead High,19645191937481,El Monte Union High,277,473,505,469,124,44.77%
South El Monte High,19645191995661,El Monte Union High,164,436,458,427,38,23.17%
